fecha,valor
2020-01-02,839.58
2020-01-03,842.45
2020-01-06,847.38
2020-01-07,863.91
2020-01-08,861.61
2020-01-09,852.6
2020-01-10,849.66
2020-01-13,857.32
2020-01-14,866.28
2020-01-15,859.63
2020-01-16,861.62
2020-01-17,861.11
2020-01-20,855.47
2020-01-21,853.58
2020-01-22,854.59
2020-01-23,855.91
2020-01-24,852.88
2020-01-27,856.05
2020-01-28,867.78
2020-01-29,867.7
2020-01-30,867.08
2020-01-31,880.26
2020-02-03,885.44
2020-02-04,874.91
2020-02-05,863.27
2020-02-06,854.96
2020-02-07,855.42
2020-02-10,863.59
2020-02-11,868.67
2020-02-12,865.44
2020-02-13,857.53
2020-02-14,862.11
2020-02-17,859.05
2020-02-18,858.2
2020-02-19,861.14
2020-02-20,860.57
2020-02-21,869.05
2020-02-24,879.38
2020-02-25,880.08
2020-02-26,878.69
2020-02-27,882.78
2020-02-28,895.41
2020-03-01,900.24
2020-03-02,900.24
2020-03-03,913.35
2020-03-04,903.81
2020-03-05,903.54
2020-03-06,921.62
2020-03-09,937.09
2020-03-10,964.19
2020-03-11,943.69
2020-03-12,942.55
2020-03-13,953.19
2020-03-16,928.28
2020-03-17,949.55
2020-03-18,938.42
2020-03-19,934.36
2020-03-20,928.86
2020-03-23,909.0
2020-03-24,927.68
2020-03-25,912.56
2020-03-26,916.75
2020-03-27,922.69
2020-03-30,925.05
2020-03-31,932.56
2020-04-01,934.55
2020-04-02,942.3
2020-04-03,934.2
2020-04-06,932.53
2020-04-07,922.05
2020-04-08,918.07
2020-04-09,925.98
2020-04-13,918.68
2020-04-14,922.12
2020-04-15,931.74
2020-04-16,939.44
2020-04-17,924.44
2020-04-20,923.42
2020-04-21,929.88
2020-04-22,935.7
2020-04-23,926.36
2020-04-24,925.81
2020-04-27,928.27
2020-04-28,927.83
2020-04-29,921.55
2020-04-30,909.96
2020-05-04,917.56
2020-05-05,914.36
2020-05-06,904.18
2020-05-07,906.72
2020-05-08,905.25
2020-05-11,897.57
2020-05-12,892.54
2020-05-13,892.18
